Date,Close/Last,Volume,Open,High,Low
11/04/2020,0.992392,--,0.988573,0.992621,0.988301
11/03/2020,0.963742,--,0.968073,0.970142,0.960821
11/02/2020,0.953892,--,0.952831,0.955298,0.952637
10/30/2020,0.959372,--,0.942571,0.963512,0.935873
10/29/2020,0.954652,--,0.934973,0.967108,0.924233
10/28/2020,0.944035,--,0.946421,0.986465,0.921125
10/27/2020,0.974056,--,0.959754,0.981533,0.937313
10/26/2020,0.935034,--,0.947055,0.953003,0.917565
10/23/2020,0.934838,--,0.939947,0.943888,0.919304
10/22/2020,0.952753,--,0.932688,0.954829,0.917295
10/21/2020,0.936459,--,0.897741,0.938404,0.866061
10/20/2020,0.863535,--,0.86154,0.870522,0.85308
10/19/2020,0.857394,--,0.844082,0.865033,0.835977
10/16/2020,0.831906,--,0.834431,0.83561,0.827191
10/15/2020,0.847033,--,0.838612,0.853754,0.829014
10/14/2020,0.840564,--,0.842991,0.853824,0.832436
10/13/2020,0.846293,--,0.846842,0.854889,0.835673
10/12/2020,0.865057,--,0.833362,0.866918,0.827608
10/09/2020,0.81715,--,0.816044,0.820978,0.797893
10/08/2020,0.803326,--,0.782041,0.806832,0.774422
10/07/2020,0.784006,--,0.782516,0.787389,0.774204
10/06/2020,0.780376,--,0.790124,0.798767,0.774902
10/05/2020,0.795909,--,0.791099,0.797828,0.785855
10/02/2020,0.775486,--,0.772379,0.780465,0.767954
10/01/2020,0.785566,--,0.809228,0.812509,0.773367
09/30/2020,0.797899,--,0.794338,0.800705,0.791563
09/29/2020,0.797608,--,0.796684,0.799969,0.787105
09/28/2020,0.806406,--,0.807914,0.810973,0.802916
09/25/2020,0.79137,--,0.781889,0.79568,0.774389
09/24/2020,0.785576,--,0.7618,0.787331,0.751165
09/23/2020,0.749353,--,0.772449,0.77533,0.740177
09/22/2020,0.773401,--,0.770272,0.777481,0.759802
09/21/2020,0.772343,--,0.776524,0.814154,0.754735
09/18/2020,0.814601,--,0.820546,0.824136,0.805287
09/17/2020,0.817244,--,0.805926,0.823417,0.801052
